id;owner_type;owner_id;field_name;value
1;ROI open-source;52568;card;2021-06-18T10:33:11
2;empowering 巷;83179;microchip Keyboard extend;2021-06-17T15:32:17
3;Tactics;15731;didactic;2021-06-18T12:36:40
4;SCSI virtual state;45606;Coordinator Granite Garden;2021-06-18T14:24:02
5;PNG evolve;14606;Senior;2021-06-18T03:19:35
6;Tasty;95924;Awesome Rubber ubiquitous;2021-06-17T20:02:04
7;alliance;9379;Sleek;2021-06-18T07:26:13
8;Frozen mindshare Guarani;10447;multi-state Taiwan task-force;2021-06-18T05:48:37
9;parsing Lilangeni Seychelles;94228;clicks-and-mortar 内蒙古 Pound;2021-06-17T20:45:21
10;Bacon (Slovak;54122;Visionary Future Concrete;2021-06-18T13:22:30
